Nationality,Number of Guests,Percentage of total guests
Indonesia,121,36.34%
Belgium,24,7.21%
United States,17,5.11%
Germany,15,4.50%
Netherlands,16,4.80%
France,22,6.61%
Spain,16,4.80%
Australia,10,3.00%
Canada,2,0.60%
Malaysia,6,1.80%
United Kingdom,9,2.70%
Myanmar,1,0.30%
Sweden,1,0.30%
Azerbaijan,1,0.30%
China,22,6.61%
India,1,0.30%
Italy,19,5.71%
Hungary,1,0.30%
Korea,0,0.00%
Luxembourg,2,0.60%
New Zealand,6,1.80%
Singapore,9,2.70%
Switzerland,2,0.60%
Israel,2,0.60%
Iran,2,0.60%
Brazil,5,1.50%
Poland,1,0.30%
